trade_id,slug,entry_time,exit_time,direction,entry_price,exit_price,position_notional,quantity,p_model_up,p_market_up,alpha,gross_pnl,fees_paid,net_pnl,gross_return_pct,net_return_pct,hold_seconds,exit_type,timestamp,capital_before,capital_after,cumulative_pnl,drawdown,drawdown_pct,trade_return,rolling_avg_return_30,rolling_win_rate_30,rolling_sharpe_30
174,btc-updown-15m-1765683000,2025-12-14T03:43:46+00:00,2025-12-14T03:43:47+00:00,DOWN,0.4,0.535,100.0,250.0,0.531085,0.6,-0.068915,33.75,8.79795,24.95205,33.75,24.952,1,success,2025-12-14T03:43:47+00:00,7985.051058999999,8010.003108999999,-1989.9968910000007,-2003.6739670000006,-0.20009372698888503,0.2495205,-0.09359258433333334,0.1,-4.468541886542777
175,btc-updown-15m-1765683000,2025-12-14T03:43:55+00:00,2025-12-14T03:43:58+00:00,DOWN,0.485,0.445,100.0,206.185567,0.471153,0.515,-0.043847,-8.247423,7.374433,-15.621856,-8.2474,-15.6219,1,stop_loss,2025-12-14T03:43:58+00:00,8010.003108999999,7994.381253,-2005.6187470000007,-2019.2958230000004,-0.20165377889403793,-0.15621856,-0.09769075866666667,0.1,-4.665554067599231
176,btc-updown-15m-1765683000,2025-12-14T03:44:10+00:00,2025-12-14T03:44:11+00:00,DOWN,0.47,0.445,100.0,212.765957,0.487239,0.53,-0.042761,-5.319149,7.599447,-12.918596,-5.3191,-12.9186,1,stop_loss,2025-12-14T03:44:11+00:00,7994.381253,7981.462656999999,-2018.5373430000006,-2032.2144190000008,-0.20294387402112796,-0.12918596000000002,-0.09789369800000002,0.1,-4.673132026891297
177,btc-updown-15m-1765683000,2025-12-14T03:44:26+00:00,2025-12-14T03:44:29+00:00,UP,0.52,0.56,100.0,192.307692,0.602697,0.52,0.082697,7.692308,6.867692,0.824615,7.6923,0.8246,2,success,2025-12-14T03:44:29+00:00,7981.462656999999,7982.287272,-2017.7127280000007,-2031.3898040000004,-0.20286152515030437,0.00824615,-0.09436918100000001,0.13333333333333333,-4.441960081175149
178,btc-updown-15m-1765683000,2025-12-14T03:44:31+00:00,2025-12-14T03:44:33+00:00,UP,0.605,0.64,100.0,165.289256,0.728862,0.605,0.123862,5.785124,5.58595,0.199174,5.7851,0.1992,2,success,2025-12-14T03:44:33+00:00,7982.287272,7982.486445999999,-2017.5135540000006,-2031.190630000001,-0.2028416349542767,0.00199174,-0.09066610133333335,0.16666666666666666,-4.22137653811914
179,btc-updown-15m-1765683000,2025-12-14T03:44:35+00:00,2025-12-14T03:44:39+00:00,UP,0.64,0.725,100.0,156.25,0.805791,0.64,0.165791,13.28125,4.834969,8.446281,13.2812,8.4463,1,success,2025-12-14T03:44:39+00:00,7982.486445999999,7990.932726999999,-2009.0672730000006,-2022.7443490000005,-0.20199816048072455,0.08446281000000001,-0.08410876333333334,0.2,-3.7821938131085933
180,btc-updown-15m-1765683000,2025-12-14T03:44:44+00:00,2025-12-14T03:44:44+00:00,UP,0.755,0.755,100.0,132.450331,0.887553,0.755,0.132553,0.0,3.528,-3.528,0.0,-3.528,0,timeout,2025-12-14T03:44:44+00:00,7990.932726999999,7987.404726999999,-2012.5952730000006,-2026.2723490000008,-0.20235047861253808,-0.03528,-0.08406583966666667,0.2,-3.77971881056747
181,btc-updown-15m-1765683900,2025-12-14T03:53:09+00:00,2025-12-14T03:53:10+00:00,UP,0.325,0.315,100.0,307.692308,0.367836,0.325,0.042836,-3.076923,9.640246,-12.717169,-3.0769,-12.7172,1,stop_loss,2025-12-14T03:53:10+00:00,7987.404726999999,7974.687558,-2025.3124420000006,-2038.9895180000003,-0.2036204585513239,-0.12717169,-0.08407688066666667,0.2,-3.7800903204720435
182,btc-updown-15m-1765683900,2025-12-14T03:53:12+00:00,2025-12-14T03:53:19+00:00,UP,0.315,0.31,100.0,317.460317,0.355367,0.315,0.040367,-1.587302,9.821143,-11.408444,-1.5873,-11.4084,6,stop_loss,2025-12-14T03:53:19+00:00,7974.687558,7963.279113999999,-2036.7208860000005,-2050.397962000001,-0.20475974474094386,-0.11408444,-0.08406637700000001,0.2,-3.7797015668845164
183,btc-updown-15m-1765683900,2025-12-14T03:53:28+00:00,2025-12-14T03:53:30+00:00,UP,0.31,0.305,100.0,322.580645,0.368858,0.31,0.058858,-1.612903,9.89129,-11.504194,-1.6129,-11.5042,2,stop_loss,2025-12-14T03:53:30+00:00,7963.279113999999,7951.77492,-2048.2250800000006,-2061.902156,-0.20590859285265015,-0.11504194,-0.083941632,0.2,-3.7751733820545246
