trade_id,slug,entry_time,exit_time,direction,entry_price,exit_price,position_notional,quantity,p_model_up,p_market_up,alpha,gross_pnl,fees_paid,net_pnl,gross_return_pct,net_return_pct,hold_seconds,exit_type
128,btc-updown-15m-1765678500,2025-12-14T02:29:26+00:00,2025-12-14T02:29:31+00:00,UP,0.905,0.945,100.0,110.497238,0.99,0.905,0.085,4.41989,1.097503,3.322387,4.4199,3.3224,2,success
129,btc-updown-15m-1765678500,2025-12-14T02:29:40+00:00,2025-12-14T02:29:43+00:00,DOWN,0.02,0.04,100.0,5000.0,0.908915,0.98,-0.071085,100.0,20.88,79.12,100.0,79.12,3,success
130,btc-updown-15m-1765680300,2025-12-14T02:53:52+00:00,2025-12-14T02:53:53+00:00,UP,0.075,0.08,100.0,1333.333333,0.123601,0.075,0.048601,6.666667,13.7256,-7.058933,6.6667,-7.0589,1,success
131,btc-updown-15m-1765680300,2025-12-14T02:53:55+00:00,2025-12-14T02:53:56+00:00,UP,0.075,0.07,100.0,1333.333333,0.115778,0.075,0.040778,-6.666667,12.9096,-19.576267,-6.6667,-19.5763,1,stop_loss
132,btc-updown-15m-1765680300,2025-12-14T02:55:45+00:00,2025-12-14T02:55:46+00:00,UP,0.06,0.075,100.0,1666.666667,0.108223,0.06,0.048223,25.0,15.093,9.907,25.0,9.907,1,success
133,btc-updown-15m-1765680300,2025-12-14T02:58:48+00:00,2025-12-14T02:58:51+00:00,UP,0.065,0.045,100.0,1538.461538,0.112262,0.065,0.047262,-30.769231,11.492308,-42.261538,-30.7692,-42.2615,1,stop_loss
134,btc-updown-15m-1765681200,2025-12-14T03:09:48+00:00,2025-12-14T03:09:52+00:00,UP,0.28,0.275,100.0,357.142857,0.322863,0.28,0.042863,-1.785714,10.310786,-12.0965,-1.7857,-12.0965,4,stop_loss
135,btc-updown-15m-1765681200,2025-12-14T03:09:54+00:00,2025-12-14T03:10:01+00:00,UP,0.305,0.275,100.0,327.868852,0.392045,0.305,0.087045,-9.836066,9.710557,-19.546623,-9.8361,-19.5466,7,stop_loss
136,btc-updown-15m-1765681200,2025-12-14T03:10:14+00:00,2025-12-14T03:10:24+00:00,UP,0.285,0.305,100.0,350.877193,0.33536,0.285,0.05036,7.017544,10.503158,-3.485614,7.0175,-3.4856,10,success
137,btc-updown-15m-1765681200,2025-12-14T03:10:28+00:00,2025-12-14T03:10:31+00:00,UP,0.435,0.425,100.0,229.885057,0.489639,0.435,0.054639,-2.298851,8.112828,-10.411678,-2.2989,-10.4117,1,stop_loss
138,btc-updown-15m-1765681200,2025-12-14T03:10:50+00:00,2025-12-14T03:10:52+00:00,UP,0.46,0.48,100.0,217.391304,0.562542,0.46,0.102542,4.347826,7.794783,-3.446957,4.3478,-3.447,2,success
139,btc-updown-15m-1765681200,2025-12-14T03:10:53+00:00,2025-12-14T03:10:54+00:00,UP,0.48,0.46,100.0,208.333333,0.63548,0.48,0.15548,-4.166667,7.47,-11.636667,-4.1667,-11.6367,1,stop_loss
140,btc-updown-15m-1765681200,2025-12-14T03:10:55+00:00,2025-12-14T03:10:56+00:00,UP,0.465,0.485,100.0,215.053763,0.571402,0.465,0.106402,4.301075,7.719484,-3.418409,4.3011,-3.4184,1,success
141,btc-updown-15m-1765681200,2025-12-14T03:10:58+00:00,2025-12-14T03:11:02+00:00,UP,0.475,0.465,100.0,210.526316,0.53268,0.475,0.05768,-2.105263,7.550905,-9.656168,-2.1053,-9.6562,4,stop_loss
142,btc-updown-15m-1765681200,2025-12-14T03:11:06+00:00,2025-12-14T03:11:08+00:00,UP,0.485,0.475,100.0,206.185567,0.559612,0.485,0.074612,-2.061856,7.410062,-9.471918,-2.0619,-9.4719,2,stop_loss
143,btc-updown-15m-1765681200,2025-12-14T03:11:09+00:00,2025-12-14T03:11:25+00:00,UP,0.485,0.475,100.0,206.185567,0.550946,0.485,0.065946,-2.061856,7.410062,-9.471918,-2.0619,-9.4719,13,stop_loss
144,btc-updown-15m-1765681200,2025-12-14T03:11:26+00:00,2025-12-14T03:11:31+00:00,UP,0.475,0.5,100.0,210.526316,0.557748,0.475,0.082748,5.263158,7.569474,-2.306316,5.2632,-2.3063,1,success
145,btc-updown-15m-1765681200,2025-12-14T03:11:37+00:00,2025-12-14T03:12:03+00:00,UP,0.48,0.5,100.0,208.333333,0.563641,0.48,0.083641,4.166667,7.494,-3.327333,4.1667,-3.3273,19,success
146,btc-updown-15m-1765681200,2025-12-14T03:12:04+00:00,2025-12-14T03:12:13+00:00,UP,0.495,0.47,100.0,202.020202,0.550661,0.495,0.055661,-5.050505,7.259273,-12.309778,-5.0505,-12.3098,8,stop_loss
147,btc-updown-15m-1765681200,2025-12-14T03:12:14+00:00,2025-12-14T03:12:19+00:00,UP,0.47,0.46,100.0,212.765957,0.536668,0.47,0.066668,-2.12766,7.621277,-9.748936,-2.1277,-9.7489,5,stop_loss
148,btc-updown-15m-1765681200,2025-12-14T03:12:20+00:00,2025-12-14T03:12:22+00:00,UP,0.465,0.45,100.0,215.053763,0.54822,0.465,0.08322,-3.225806,7.684258,-10.910065,-3.2258,-10.9101,2,stop_loss
149,btc-updown-15m-1765681200,2025-12-14T03:12:23+00:00,2025-12-14T03:12:28+00:00,UP,0.45,0.435,100.0,222.222222,0.503137,0.45,0.053137,-3.333333,7.8924,-11.225733,-3.3333,-11.2257,2,stop_loss
150,btc-updown-15m-1765681200,2025-12-14T03:12:32+00:00,2025-12-14T03:12:40+00:00,UP,0.415,0.435,100.0,240.963855,0.47334,0.415,0.05834,4.819277,8.476048,-3.656771,4.8193,-3.6568,8,success
151,btc-updown-15m-1765681200,2025-12-14T03:12:51+00:00,2025-12-14T03:13:01+00:00,UP,0.435,0.415,100.0,229.885057,0.482021,0.435,0.047021,-4.597701,8.086345,-12.684046,-4.5977,-12.684,6,stop_loss
152,btc-updown-15m-1765681200,2025-12-14T03:13:02+00:00,2025-12-14T03:13:03+00:00,UP,0.44,0.425,100.0,227.272727,0.534477,0.44,0.094477,-3.409091,8.030864,-11.439955,-3.4091,-11.44,1,stop_loss
153,btc-updown-15m-1765681200,2025-12-14T03:13:05+00:00,2025-12-14T03:13:15+00:00,UP,0.42,0.405,100.0,238.095238,0.460559,0.42,0.040559,-3.571429,8.307,-11.878429,-3.5714,-11.8784,3,stop_loss
154,btc-updown-15m-1765681200,2025-12-14T03:13:56+00:00,2025-12-14T03:13:58+00:00,UP,0.305,0.3,100.0,327.868852,0.357109,0.305,0.052109,-1.639344,9.961377,-11.600721,-1.6393,-11.6007,1,stop_loss
155,btc-updown-15m-1765682100,2025-12-14T03:22:54+00:00,2025-12-14T03:22:55+00:00,UP,0.26,0.255,100.0,384.615385,0.301242,0.26,0.041242,-1.923077,10.588846,-12.511923,-1.9231,-12.5119,1,stop_loss
156,btc-updown-15m-1765682100,2025-12-14T03:23:30+00:00,2025-12-14T03:23:35+00:00,UP,0.295,0.365,100.0,338.983051,0.338129,0.295,0.043129,23.728814,10.732881,12.995932,23.7288,12.9959,4,success
157,btc-updown-15m-1765682100,2025-12-14T03:23:36+00:00,2025-12-14T03:23:39+00:00,UP,0.375,0.355,100.0,266.666667,0.495662,0.375,0.120662,-5.333333,8.89632,-14.229653,-5.3333,-14.2297,1,stop_loss
158,btc-updown-15m-1765682100,2025-12-14T03:23:40+00:00,2025-12-14T03:23:42+00:00,UP,0.355,0.345,100.0,281.690141,0.452849,0.355,0.097849,-2.816901,9.227155,-12.044056,-2.8169,-12.0441,2,stop_loss
159,btc-updown-15m-1765682100,2025-12-14T03:23:52+00:00,2025-12-14T03:23:55+00:00,UP,0.335,0.36,100.0,298.507463,0.379784,0.335,0.044784,7.462687,9.739881,-2.277194,7.4627,-2.2772,1,success
160,btc-updown-15m-1765682100,2025-12-14T03:23:56+00:00,2025-12-14T03:23:57+00:00,UP,0.36,0.375,100.0,277.777778,0.408591,0.36,0.048591,4.166667,9.2955,-5.128833,4.1667,-5.1288,1,success
161,btc-updown-15m-1765682100,2025-12-14T03:24:57+00:00,2025-12-14T03:25:04+00:00,UP,0.295,0.285,100.0,338.983051,0.345263,0.295,0.050263,-3.389831,10.049492,-13.439322,-3.3898,-13.4393,4,stop_loss
162,btc-updown-15m-1765682100,2025-12-14T03:25:19+00:00,2025-12-14T03:25:20+00:00,UP,0.295,0.29,100.0,338.983051,0.373189,0.295,0.078189,-1.694915,10.101356,-11.796271,-1.6949,-11.7963,1,stop_loss
163,btc-updown-15m-1765682100,2025-12-14T03:25:28+00:00,2025-12-14T03:25:31+00:00,UP,0.315,0.305,100.0,317.460317,0.371332,0.315,0.056332,-3.174603,9.777143,-12.951746,-3.1746,-12.9517,1,stop_loss
164,btc-updown-15m-1765682100,2025-12-14T03:26:01+00:00,2025-12-14T03:26:07+00:00,UP,0.29,0.285,100.0,344.827586,0.332083,0.29,0.042083,-1.724138,10.171241,-11.895379,-1.7241,-11.8954,6,stop_loss
165,btc-updown-15m-1765682100,2025-12-14T03:26:29+00:00,2025-12-14T03:26:30+00:00,UP,0.225,0.235,100.0,444.444444,0.326526,0.225,0.101526,4.444444,11.3328,-6.888356,4.4444,-6.8884,1,success
166,btc-updown-15m-1765682100,2025-12-14T03:26:35+00:00,2025-12-14T03:26:43+00:00,UP,0.215,0.195,100.0,465.116279,0.270239,0.215,0.055239,-9.302326,10.908837,-20.211163,-9.3023,-20.2112,8,stop_loss
167,btc-updown-15m-1765682100,2025-12-14T03:26:46+00:00,2025-12-14T03:26:47+00:00,UP,0.195,0.175,100.0,512.820513,0.270859,0.195,0.075859,-10.25641,11.126769,-21.383179,-10.2564,-21.3832,1,stop_loss
168,btc-updown-15m-1765682100,2025-12-14T03:26:48+00:00,2025-12-14T03:26:49+00:00,UP,0.17,0.145,100.0,588.235294,0.239155,0.17,0.069155,-14.705882,11.226706,-25.932588,-14.7059,-25.9326,1,stop_loss
169,btc-updown-15m-1765682100,2025-12-14T03:26:50+00:00,2025-12-14T03:26:52+00:00,UP,0.145,0.195,100.0,689.655172,0.211557,0.145,0.066557,34.482759,13.950621,20.532138,34.4828,20.5321,2,success
